,distance,moving_time,start_date_local,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,ftp
424,63119.1,7147,2020-12-30T06:45:18Z,141.9,93.0,6105.0,949.0,0.0,0.0,113.52658333333332
425,17982.1,3210,2020-12-28T07:22:34Z,121.9,673.0,2537.0,0.0,0.0,0.0,84.12645833333332
427,26761.8,4532,2020-12-25T07:31:23Z,131.2,462.0,3717.0,342.0,11.0,0.0,99.60275
428,20203.2,3300,2020-12-24T07:05:21Z,135.2,260.0,2810.0,217.0,13.0,0.0,105.04783333333333
430,26759.7,4346,2020-12-21T07:23:37Z,136.3,232.0,3820.0,291.0,3.0,0.0,87.28125
432,22558.1,3954,2020-12-18T07:11:36Z,128.3,1282.0,2118.0,351.0,203.0,0.0,65.44629166666667
433,18218.3,3340,2020-12-17T07:14:27Z,115.0,1691.0,1649.0,0.0,0.0,0.0,70.4615
435,23143.6,3978,2020-12-14T07:28:36Z,131.4,472.0,3209.0,250.0,47.0,0.0,85.78025
437,23050.0,4193,2020-12-11T07:21:02Z,124.4,922.0,3165.0,92.0,14.0,0.0,75.25820833333333
438,18061.8,3044,2020-12-10T07:16:35Z,127.9,491.0,2345.0,117.0,91.0,0.0,76.86925000000001
441,23121.2,4052,2020-12-04T07:21:55Z,125.7,785.0,3150.0,117.0,0.0,0.0,71.81841666666666
445,23878.6,4222,2020-11-27T07:25:12Z,133.2,354.0,3470.0,281.0,117.0,0.0,77.53741666666667
447,22205.4,3943,2020-11-23T07:28:31Z,127.3,440.0,3411.0,92.0,0.0,0.0,
449,22315.8,3592,2020-11-13T07:07:57Z,141.4,116.0,2438.0,963.0,75.0,0.0,
451,29310.3,3767,2020-11-09T06:44:16Z,153.7,63.0,1275.0,2322.0,107.0,0.0,
452,25383.4,4075,2020-11-07T06:46:47Z,138.6,375.0,2717.0,859.0,124.0,0.0,
453,22598.9,3709,2020-11-06T06:47:13Z,133.1,390.0,2848.0,402.0,69.0,0.0,
454,29288.3,3766,2020-11-04T06:49:34Z,152.6,97.0,1559.0,2050.0,60.0,0.0,
455,25073.2,3343,2020-11-02T06:57:15Z,149.6,113.0,1760.0,1397.0,73.0,0.0,
456,18154.7,2917,2020-10-29T06:32:50Z,134.6,149.0,2595.0,82.0,91.0,0.0,
457,17978.1,3175,2020-10-27T06:47:13Z,129.7,279.0,2831.0,65.0,0.0,0.0,
458,17958.4,2747,2020-10-10T06:36:49Z,140.6,110.0,2282.0,306.0,49.0,0.0,
459,28969.9,4933,2020-10-09T06:25:42Z,127.8,940.0,3682.0,311.0,0.0,0.0,
461,23353.3,4051,2020-10-06T06:28:36Z,128.8,355.0,3519.0,173.0,4.0,0.0,
462,17996.8,3064,2020-10-05T06:47:33Z,130.2,260.0,2769.0,35.0,0.0,0.0,
463,29932.3,4979,2020-10-02T06:24:16Z,138.5,458.0,3206.0,965.0,350.0,0.0,
464,18015.1,2974,2020-10-01T06:46:56Z,144.6,130.0,1856.0,674.0,238.0,76.0,
465,8378.2,51131,2020-09-28T19:02:03Z,88.3,49870.0,1117.0,144.0,0.0,0.0,
466,12897.8,2401,2020-09-09T08:26:43Z,123.2,936.0,1369.0,96.0,0.0,0.0,
467,13484.2,2401,2020-09-07T08:19:55Z,129.6,539.0,1784.0,78.0,0.0,0.0,
